step,Konstanz SW mean,Konstanz SW max,Konstanz SW min,Konstanz SW 3s max,Konstanz GEFS-c00 mean,Konstanz GEFS-c00 max,Konstanz GEFS-p01 mean,Konstanz GEFS-p01 max,Konstanz GEFS-p02 mean,Konstanz GEFS-p02 max,Konstanz GEFS-p03 mean,Konstanz GEFS-p03 max,Konstanz GEFS-p04 mean,Konstanz GEFS-p04 max,Konstanz GFS mean,Konstanz GFS max,Konstanz ICON-EU mean,Konstanz ICON-EU max,Konstanz ICON-D2 mean,Konstanz ICON-D2 max,Konstanz MOSMIX mean,Konstanz MOSMIX max,Konstanz SW mean se,Konstanz SW max se,Konstanz SW min se,Konstanz SW 3s max se
233,1.28,3.38,0.46,1.36,1.82,6.36,2.06,7.45,1.84,6.66,1.99,7.32,1.96,6.79,1.93,7.50,1.76,6.69,1.36,4.83,1.51,5.27,0.07,0.20,0.02,0.08
234,1.27,3.37,0.46,1.35,1.82,6.35,2.06,7.44,1.85,6.67,1.99,7.32,1.96,6.77,1.93,7.49,1.75,6.75,1.35,4.73,1.51,5.26,0.07,0.20,0.02,0.08
235,1.27,3.37,0.46,1.35,1.82,6.36,2.07,7.48,1.85,6.68,2.00,7.34,1.96,6.76,1.94,7.49,1.74,6.78,1.34,4.59,1.51,5.26,0.07,0.20,0.02,0.08
236,1.28,3.39,0.46,1.36,1.83,6.38,2.08,7.50,1.86,6.71,2.00,7.37,1.96,6.77,1.94,7.52,1.73,6.79,1.33,4.51,1.52,5.28,0.08,0.20,0.02,0.08
237,1.28,3.38,0.46,1.36,1.83,6.36,2.09,7.51,1.86,6.70,2.00,7.36,1.96,6.74,1.94,7.49,1.71,6.79,1.31,4.38,1.51,5.27,0.08,0.20,0.02,0.08
238,1.28,3.40,0.46,1.36,1.83,6.38,2.09,7.54,1.87,6.72,2.01,7.38,1.95,6.74,1.94,7.49,1.68,6.79,1.30,4.32,1.52,5.28,0.08,0.20,0.02,0.08
239,1.28,3.40,0.46,1.36,1.83,6.38,2.10,7.55,1.87,6.72,2.00,7.37,1.95,6.72,1.94,7.48,1.67,6.81,1.30,4.26,1.52,5.29,0.08,0.20,0.02,0.08
240,1.28,3.41,0.46,1.36,1.83,6.39,2.11,7.59,1.87,6.74,2.00,7.36,1.95,6.71,1.94,7.50,1.67,6.82,1.29,4.16,1.52,5.29,0.07,0.20,0.02,0.08
241,1.29,3.42,0.46,1.36,1.83,6.39,2.12,7.62,1.88,6.75,2.01,7.37,1.95,6.70,1.94,7.51,1.68,6.88,1.28,4.08,1.52,5.30,0.08,0.20,0.02,0.08
242,1.29,3.43,0.46,1.37,1.83,6.39,2.13,7.64,1.88,6.77,2.00,7.37,1.96,6.68,1.94,7.51,1.70,6.89,1.27,4.02,1.53,5.30,0.08,0.20,0.02,0.08
243,1.29,3.44,0.46,1.37,1.83,6.39,2.14,7.68,1.89,6.77,2.00,7.37,1.95,6.67,1.94,7.51,1.70,6.92,1.27,4.00,1.53,5.31,0.08,0.20,0.02,0.08
244,1.29,3.43,0.46,1.37,1.83,6.39,2.14,7.69,1.89,6.78,2.00,7.37,1.96,6.67,1.94,7.51,1.71,6.94,1.24,3.87,1.53,5.31,0.08,0.20,0.02,0.08
245,1.29,3.43,0.46,1.37,1.83,6.39,2.14,7.70,1.89,6.78,2.00,7.37,1.96,6.66,1.95,7.52,1.74,7.05,1.20,3.80,1.53,5.32,0.08,0.20,0.02,0.08
246,1.29,3.44,0.46,1.37,1.83,6.38,2.15,7.70,1.90,6.79,2.01,7.38,1.96,6.66,1.95,7.54,1.77,7.14,1.24,3.93,1.53,5.33,0.08,0.20,0.02,0.08
247,1.29,3.44,0.46,1.38,1.82,6.39,2.14,7.71,1.90,6.81,2.00,7.39,1.96,6.65,1.96,7.57,1.79,7.21,1.22,4.03,1.52,5.34,0.08,0.20,0.02,0.08
248,1.30,3.45,0.46,1.38,1.82,6.40,2.15,7.72,1.90,6.84,2.00,7.38,1.96,6.65,1.96,7.60,1.81,7.28,1.21,4.05,1.52,5.35,0.08,0.20,0.02,0.08
249,1.30,3.47,0.46,1.38,1.82,6.43,2.15,7.74,1.91,6.88,2.00,7.40,1.96,6.65,1.97,7.64,1.83,7.32,1.21,4.17,1.53,5.35,0.08,0.21,0.02,0.08
250,1.31,3.47,0.47,1.39,1.82,6.43,2.16,7.73,1.92,6.90,2.01,7.40,1.97,6.65,1.98,7.66,1.84,7.42,1.19,4.28,1.53,5.37,0.08,0.21,0.02,0.08
251,1.31,3.47,0.47,1.39,1.82,6.45,2.16,7.73,1.93,6.94,2.01,7.41,1.97,6.66,1.98,7.69,1.84,7.45,1.21,4.44,1.53,5.37,0.08,0.21,0.02,0.08
252,1.31,3.48,0.46,1.39,1.82,6.48,2.16,7.74,1.93,6.96,2.01,7.43,1.98,6.70,1.99,7.73,1.84,7.48,1.10,3.59,1.53,5.38,0.08,0.21,0.02,0.08
253,1.31,3.49,0.47,1.39,1.83,6.50,2.16,7.73,1.94,6.99,2.01,7.43,1.98,6.72,1.99,7.75,1.85,7.52,1.17,3.88,1.53,5.39,0.08,0.21,0.02,0.08
254,1.32,3.50,0.47,1.40,1.83,6.52,2.16,7.73,1.95,7.01,2.01,7.43,1.99,6.74,2.00,7.78,1.86,7.54,1.08,3.74,1.54,5.40,0.08,0.21,0.02,0.08
255,1.32,3.50,0.47,1.40,1.82,6.54,2.16,7.72,1.96,7.04,2.01,7.44,1.99,6.76,2.00,7.80,1.85,7.54,0.38,0.53,1.54,5.40,0.08,0.21,0.02,0.08
256,1.32,3.52,0.47,1.40,1.83,6.55,2.16,7.73,1.96,7.06,2.01,7.46,2.00,6.78,2.00,7.82,1.84,7.53,,,1.54,5.42,0.08,0.21,0.02,0.08
257,1.32,3.52,0.47,1.41,1.82,6.57,2.15,7.73,1.97,7.08,2.01,7.47,2.00,6.81,2.01,7.86,1.85,7.50,,,1.54,5.42,0.08,0.21,0.02,0.08
258,1.32,3.51,0.47,1.40,1.82,6.55,2.15,7.71,1.97,7.07,2.01,7.46,2.00,6.82,2.00,7.85,1.87,7.48,,,1.55,5.41,0.08,0.21,0.02,0.08
259,1.32,3.52,0.47,1.41,1.82,6.55,2.15,7.70,1.98,7.10,2.01,7.48,2.01,6.85,2.00,7.87,1.87,7.44,,,1.55,5.43,0.08,0.21,0.02,0.08
260,1.32,3.52,0.47,1.41,1.82,6.55,2.15,7.69,1.99,7.11,2.01,7.47,2.02,6.87,2.00,7.87,1.87,7.32,,,1.55,5.43,0.08,0.21,0.02,0.08
261,1.32,3.51,0.47,1.40,1.82,6.54,2.14,7.66,1.99,7.12,2.01,7.48,2.03,6.90,2.00,7.85,1.86,7.21,,,1.56,5.44,0.08,0.21,0.02,0.08
262,1.32,3.52,0.47,1.41,1.82,6.54,2.14,7.64,2.00,7.13,2.01,7.49,2.03,6.93,2.00,7.86,1.85,7.12,,,1.56,5.45,0.08,0.21,0.02,0.08
263,1.32,3.51,0.47,1.40,1.82,6.53,2.14,7.62,2.00,7.13,2.01,7.48,2.04,6.96,1.99,7.85,1.83,6.99,,,1.56,5.45,0.08,0.21,0.02,0.08
264,1.32,3.50,0.47,1.40,1.82,6.53,2.13,7.62,2.01,7.14,2.01,7.48,2.05,7.00,1.99,7.85,1.82,6.88,,,1.56,5.45,0.08,0.21,0.02,0.08
265,1.32,3.52,0.47,1.40,1.82,6.53,2.13,7.61,2.02,7.17,2.01,7.50,2.05,7.05,1.98,7.86,1.80,6.72,,,1.57,5.47,0.08,0.21,0.02,0.08
266,1.32,3.52,0.47,1.41,1.82,6.53,2.12,7.60,2.02,7.19,2.02,7.50,2.06,7.09,1.99,7.87,1.78,6.57,,,1.57,5.47,0.08,0.21,0.02,0.09
267,1.32,3.50,0.47,1.41,1.81,6.52,2.11,7.57,2.03,7.20,2.01,7.49,2.07,7.12,1.97,7.86,1.75,6.43,,,1.56,5.46,0.08,0.21,0.02,0.08
268,1.32,3.50,0.47,1.40,1.81,6.53,2.10,7.56,2.03,7.24,2.01,7.49,2.07,7.16,1.97,7.87,1.74,6.36,,,1.57,5.49,0.08,0.21,0.02,0.08
269,1.31,3.49,0.46,1.40,1.81,6.51,2.09,7.52,2.03,7.25,2.00,7.46,2.07,7.18,1.96,7.86,1.71,6.27,,,1.56,5.47,0.08,0.22,0.02,0.08
270,1.31,3.49,0.47,1.40,1.81,6.50,2.09,7.51,2.04,7.26,2.00,7.46,2.08,7.22,1.96,7.86,1.69,6.24,,,1.57,5.48,0.08,0.22,0.02,0.09
271,1.32,3.50,0.47,1.40,1.80,6.49,2.08,7.49,2.04,7.28,1.99,7.42,2.09,7.25,1.96,7.84,1.67,6.19,,,1.56,5.47,0.08,0.22,0.02,0.09
272,1.32,3.51,0.47,1.40,1.79,6.45,2.06,7.44,2.04,7.25,1.97,7.37,2.08,7.25,1.96,7.84,1.66,6.19,,,1.56,5.46,0.08,0.23,0.02,0.09
273,1.33,3.53,0.47,1.41,1.79,6.44,2.05,7.39,2.03,7.24,1.96,7.33,2.08,7.28,1.96,7.85,1.64,6.21,,,1.56,5.46,0.09,0.23,0.03,0.09
274,1.34,3.56,0.47,1.42,1.78,6.43,2.05,7.37,2.03,7.23,1.96,7.31,2.08,7.31,1.96,7.85,1.62,6.25,,,1.56,5.47,0.09,0.24,0.03,0.09
275,1.34,3.57,0.47,1.43,1.78,6.44,2.03,7.34,2.03,7.26,1.95,7.30,2.07,7.33,1.95,7.84,1.62,6.32,,,1.56,5.46,0.09,0.24,0.03,0.09
276,1.34,3.58,0.47,1.43,1.78,6.45,2.03,7.33,2.04,7.27,1.95,7.30,2.08,7.36,1.95,7.82,1.64,6.45,,,1.55,5.45,0.09,0.24,0.03,0.10
277,1.36,3.62,0.48,1.45,1.79,6.48,2.02,7.33,2.05,7.31,1.96,7.33,2.09,7.42,1.96,7.83,1.66,6.60,,,1.55,5.46,0.09,0.25,0.03,0.10
278,1.37,3.67,0.48,1.46,1.78,6.50,2.01,7.33,2.04,7.32,1.95,7.34,2.09,7.47,1.95,7.82,1.68,6.71,,,1.55,5.45,0.09,0.25,0.03,0.10
279,1.39,3.74,0.48,1.49,1.79,6.54,2.01,7.35,2.06,7.38,1.95,7.37,2.10,7.52,1.95,7.82,1.69,6.82,,,1.55,5.44,0.09,0.25,0.03,0.10
280,1.42,3.80,0.49,1.52,1.79,6.57,2.01,7.37,2.06,7.41,1.95,7.37,2.11,7.57,1.95,7.79,1.69,6.90,,,1.54,5.42,0.10,0.26,0.03,0.10
281,2.64,7.30,0.65,2.74,1.80,6.59,2.02,7.38,2.07,7.48,1.95,7.37,2.12,7.64,1.95,7.76,1.69,6.95,,,1.53,5.40,1.08,3.01,0.24,1.04
282,6.12,17.55,1.72,7.07,1.81,6.66,2.02,7.43,2.08,7.54,1.95,7.41,2.14,7.73,1.95,7.76,1.70,7.06,,,1.54,5.41,3.44,9.59,0.87,4.07
283,5.67,16.27,1.68,6.49,1.84,6.74,2.04,7.43,2.11,7.62,1.97,7.49,2.19,7.84,1.95,7.74,1.71,7.11,,,1.54,5.41,3.03,8.50,0.83,3.61
284,5.47,15.37,1.60,6.33,1.86,6.83,2.05,7.48,2.14,7.70,1.99,7.56,2.22,7.98,1.94,7.70,1.70,7.11,,,1.53,5.40,2.84,7.82,0.74,3.50
285,5.10,14.36,1.65,5.90,1.88,6.87,2.07,7.56,2.16,7.74,2.01,7.61,2.25,8.04,1.92,7.65,1.69,7.07,,,1.52,5.38,2.45,6.85,0.77,3.11
286,4.02,11.92,1.18,4.74,1.88,6.97,2.09,7.65,2.17,7.84,2.02,7.73,2.26,8.16,1.93,7.73,1.71,7.19,,,1.52,5.41,1.56,4.47,0.28,2.09
287,0.88,2.28,0.26,1.69,1.91,7.01,2.11,7.63,2.22,7.92,2.04,7.80,2.31,8.23,1.94,7.80,1.74,7.22,,,1.51,5.40,,,,
288,1.25,2.10,0.12,1.19,1.96,6.97,2.16,7.59,2.28,7.98,2.05,7.72,2.37,8.21,1.97,7.81,1.88,7.22,,,1.52,5.28,,,,
