step,Konstanz SW mean,Konstanz SW max,Konstanz SW min,Konstanz SW 3s max,Konstanz GEFS-c00 mean,Konstanz GEFS-c00 max,Konstanz GEFS-p01 mean,Konstanz GEFS-p01 max,Konstanz GEFS-p02 mean,Konstanz GEFS-p02 max,Konstanz GEFS-p03 mean,Konstanz GEFS-p03 max,Konstanz GEFS-p04 mean,Konstanz GEFS-p04 max,Konstanz GFS mean,Konstanz GFS max,Konstanz ICON-EU mean,Konstanz ICON-EU max,Konstanz ICON-D2 mean,Konstanz ICON-D2 max,Konstanz MOSMIX mean,Konstanz MOSMIX max,Konstanz SW mean se,Konstanz SW max se,Konstanz SW min se,Konstanz SW 3s max se
37,1.22,3.29,0.43,1.30,1.59,6.16,1.67,6.32,1.64,6.33,1.72,6.52,1.78,6.98,1.64,7.35,1.56,6.58,1.50,5.23,1.40,5.21,0.07,0.19,0.02,0.08
38,1.22,3.29,0.43,1.30,1.60,6.16,1.67,6.33,1.64,6.34,1.72,6.51,1.77,6.96,1.64,7.35,1.56,6.59,1.51,5.25,1.40,5.21,0.07,0.19,0.02,0.08
39,1.22,3.28,0.43,1.30,1.59,6.15,1.68,6.33,1.63,6.34,1.72,6.51,1.76,6.94,1.64,7.34,1.57,6.59,1.51,5.25,1.41,5.21,0.07,0.19,0.02,0.08
40,1.22,3.29,0.43,1.30,1.59,6.15,1.67,6.33,1.63,6.35,1.72,6.50,1.75,6.91,1.64,7.33,1.56,6.59,1.51,5.26,1.40,5.21,0.07,0.19,0.02,0.08
41,1.23,3.29,0.43,1.30,1.59,6.14,1.67,6.33,1.63,6.36,1.72,6.50,1.74,6.88,1.64,7.32,1.56,6.58,1.51,5.27,1.40,5.21,0.07,0.19,0.02,0.08
42,1.23,3.29,0.43,1.30,1.59,6.13,1.67,6.33,1.63,6.36,1.72,6.50,1.73,6.86,1.64,7.31,1.56,6.57,1.52,5.28,1.40,5.20,0.07,0.19,0.02,0.08
43,1.22,3.27,0.43,1.29,1.59,6.13,1.67,6.32,1.63,6.37,1.72,6.49,1.73,6.85,1.63,7.28,1.55,6.56,1.52,5.29,1.40,5.19,0.07,0.19,0.02,0.08
44,1.21,3.25,0.43,1.29,1.59,6.13,1.67,6.32,1.63,6.39,1.71,6.51,1.72,6.83,1.63,7.29,1.55,6.55,1.52,5.31,1.40,5.19,0.07,0.19,0.02,0.08
45,1.21,3.25,0.43,1.28,1.59,6.12,1.67,6.32,1.63,6.40,1.72,6.52,1.72,6.82,1.63,7.26,1.55,6.55,1.53,5.33,1.40,5.19,0.07,0.19,0.02,0.08
46,1.21,3.25,0.43,1.29,1.58,6.10,1.67,6.30,1.63,6.40,1.71,6.50,1.71,6.78,1.62,7.24,1.55,6.55,1.54,5.34,1.40,5.18,0.07,0.19,0.02,0.08
47,1.21,3.25,0.43,1.29,1.58,6.09,1.67,6.30,1.63,6.41,1.71,6.50,1.71,6.77,1.63,7.25,1.55,6.54,1.54,5.37,1.40,5.18,0.07,0.18,0.02,0.08
48,1.20,3.23,0.43,1.28,1.58,6.10,1.67,6.30,1.63,6.43,1.71,6.51,1.71,6.76,1.63,7.26,1.55,6.53,1.55,5.38,1.40,5.18,0.07,0.18,0.02,0.07
49,1.21,3.24,0.43,1.28,1.59,6.10,1.67,6.32,1.64,6.44,1.71,6.52,1.71,6.75,1.64,7.26,1.56,6.53,1.56,5.42,1.40,5.18,0.07,0.18,0.02,0.07
50,1.21,3.24,0.43,1.28,1.59,6.12,1.68,6.34,1.64,6.46,1.71,6.53,1.71,6.75,1.64,7.27,1.56,6.54,1.57,5.46,1.41,5.19,0.07,0.18,0.02,0.07
51,1.21,3.24,0.43,1.29,1.59,6.10,1.68,6.34,1.64,6.47,1.71,6.52,1.71,6.74,1.64,7.27,1.56,6.54,1.57,5.48,1.42,5.20,0.07,0.18,0.02,0.07
52,1.21,3.24,0.43,1.28,1.59,6.09,1.68,6.35,1.64,6.47,1.70,6.52,1.71,6.73,1.64,7.25,1.56,6.54,1.57,5.49,1.42,5.19,0.07,0.17,0.02,0.07
53,1.21,3.23,0.43,1.28,1.58,6.07,1.68,6.34,1.64,6.47,1.70,6.51,1.70,6.71,1.64,7.23,1.56,6.53,1.57,5.49,1.42,5.19,0.07,0.17,0.02,0.07
54,1.20,3.22,0.43,1.28,1.59,6.08,1.68,6.35,1.64,6.48,1.70,6.50,1.70,6.71,1.64,7.23,1.57,6.54,1.57,5.50,1.42,5.18,0.07,0.17,0.02,0.07
55,1.20,3.20,0.43,1.27,1.59,6.06,1.68,6.35,1.65,6.47,1.69,6.47,1.70,6.69,1.64,7.22,1.57,6.54,1.58,5.49,1.43,5.18,0.07,0.17,0.02,0.07
56,1.19,3.18,0.43,1.27,1.58,6.05,1.68,6.34,1.65,6.47,1.68,6.46,1.70,6.67,1.64,7.20,1.58,6.55,1.58,5.48,1.43,5.18,0.07,0.17,0.02,0.07
57,1.19,3.17,0.43,1.26,1.58,6.03,1.68,6.33,1.65,6.47,1.68,6.44,1.69,6.65,1.64,7.18,1.58,6.55,1.59,5.46,1.43,5.19,0.07,0.17,0.02,0.07
58,1.19,3.18,0.43,1.26,1.58,6.02,1.67,6.32,1.65,6.46,1.67,6.43,1.69,6.64,1.63,7.17,1.58,6.55,1.59,5.46,1.44,5.19,0.07,0.17,0.02,0.07
59,1.18,3.17,0.43,1.26,1.58,6.03,1.68,6.32,1.65,6.47,1.67,6.43,1.69,6.63,1.63,7.16,1.59,6.55,1.60,5.45,1.44,5.18,0.07,0.17,0.02,0.07
60,1.18,3.15,0.43,1.25,1.58,6.02,1.67,6.31,1.65,6.47,1.67,6.42,1.69,6.61,1.63,7.15,1.58,6.55,1.60,5.45,1.44,5.19,0.07,0.17,0.02,0.07
61,1.17,3.12,0.42,1.24,1.57,6.00,1.67,6.30,1.65,6.46,1.66,6.40,1.68,6.58,1.63,7.12,1.59,6.55,1.60,5.44,1.44,5.18,0.07,0.17,0.02,0.07
62,1.17,3.12,0.42,1.24,1.57,6.00,1.67,6.30,1.65,6.46,1.66,6.40,1.68,6.58,1.63,7.12,1.59,6.54,1.61,5.45,1.44,5.18,0.07,0.17,0.02,0.07
63,1.17,3.13,0.42,1.24,1.57,5.99,1.67,6.28,1.65,6.47,1.65,6.39,1.68,6.56,1.63,7.09,1.59,6.53,1.61,5.44,1.44,5.17,0.07,0.18,0.02,0.07
64,1.18,3.14,0.43,1.25,1.58,5.98,1.67,6.27,1.65,6.46,1.66,6.38,1.68,6.55,1.63,7.07,1.59,6.52,1.61,5.43,1.45,5.17,0.07,0.18,0.02,0.07
65,1.17,3.14,0.42,1.25,1.57,5.97,1.67,6.28,1.65,6.46,1.65,6.37,1.68,6.53,1.63,7.05,1.59,6.51,1.60,5.42,1.45,5.17,0.07,0.18,0.02,0.07
66,1.17,3.13,0.43,1.24,1.58,5.95,1.68,6.27,1.66,6.44,1.65,6.35,1.68,6.50,1.64,7.03,1.59,6.46,1.61,5.39,1.45,5.14,0.07,0.18,0.02,0.07
67,1.18,3.14,0.43,1.25,1.58,5.93,1.68,6.26,1.66,6.44,1.65,6.33,1.69,6.49,1.64,7.01,1.60,6.45,1.61,5.37,1.46,5.14,0.07,0.18,0.02,0.07
68,1.17,3.13,0.43,1.25,1.58,5.91,1.68,6.26,1.66,6.44,1.64,6.32,1.68,6.46,1.64,7.00,1.59,6.41,1.61,5.33,1.45,5.12,0.07,0.18,0.02,0.07
69,1.18,3.14,0.43,1.25,1.58,5.90,1.69,6.26,1.67,6.44,1.64,6.31,1.69,6.45,1.66,7.01,1.59,6.41,1.62,5.32,1.46,5.12,0.07,0.17,0.02,0.07
70,1.18,3.14,0.43,1.25,1.58,5.88,1.69,6.26,1.67,6.43,1.64,6.29,1.69,6.41,1.66,6.99,1.59,6.40,1.62,5.31,1.46,5.12,0.07,0.18,0.02,0.07
71,1.18,3.13,0.43,1.25,1.59,5.87,1.69,6.26,1.67,6.41,1.64,6.27,1.69,6.38,1.66,6.99,1.60,6.38,1.62,5.30,1.46,5.11,0.07,0.17,0.02,0.07
72,1.17,3.12,0.43,1.25,1.59,5.86,1.70,6.28,1.67,6.41,1.64,6.26,1.69,6.37,1.67,6.98,1.60,6.38,1.63,5.30,1.47,5.11,0.07,0.17,0.02,0.07
73,1.17,3.11,0.43,1.24,1.59,5.85,1.70,6.29,1.68,6.41,1.64,6.24,1.69,6.34,1.67,6.95,1.60,6.38,1.63,5.31,1.47,5.12,0.07,0.17,0.02,0.07
74,1.17,3.09,0.43,1.24,1.59,5.80,1.70,6.26,1.67,6.38,1.63,6.20,1.69,6.30,1.66,6.92,1.60,6.35,1.63,5.29,1.47,5.09,0.07,0.17,0.02,0.07
75,1.17,3.09,0.43,1.24,1.59,5.77,1.70,6.25,1.67,6.35,1.63,6.18,1.69,6.27,1.66,6.88,1.60,6.35,1.63,5.29,1.47,5.08,0.07,0.17,0.02,0.07
76,1.17,3.10,0.43,1.24,1.59,5.78,1.70,6.27,1.68,6.37,1.63,6.18,1.70,6.27,1.67,6.88,1.61,6.37,1.64,5.32,1.48,5.09,0.07,0.17,0.02,0.07
77,1.17,3.09,0.43,1.24,1.59,5.76,1.70,6.28,1.68,6.36,1.63,6.17,1.71,6.26,1.67,6.88,1.61,6.38,1.65,5.33,1.47,5.09,0.07,0.17,0.02,0.07
